userID,albumID,artist,title,rating,plays
1,MW0002495479,Walk the Moon,Tightrope,3.5,6
1,MW0002048627,Warpaint,The Fool,3.5,6
1,MW0002140303,Washed Out,Within and Without,3.5,5
1,MW0002411914,Youngblood Hawke,Youngblood Hawke,3.5,6
1,MW0002069779,A Genuine Freakshow,Oftentimes,3,5
1,MW0002387721,Alberta Cross,Songs of Patience,3,5
1,MW0002544167,Alt-J,iTunes Session,3,1
1,MW0002055233,Alter Bridge,AB III,3,5
1,MW0002569317,Alter Bridge,Fortress,3,5
1,MW0002581228,Arcade Fire,Reflektor,3,6
1,MW0002565183,Ariana Grande,Yours Truly,3,4
1,MW0002558738,Au Revoir Simone,Move in Spectrums,3,5
1,MW0002104668,Awesome New Republic,Stay Kids,3,6
1,MW0002401710,Azure Ray,As Above So Below,3,8
1,MW0002303717,B.o.B,Strange Clouds,3,5
1,MW0002278898,Bahamas,Barchords,3,5
1,,Banks,Fall Over,3,6
1,MW0002579541,Banks,London,3,6
1,MW0002377963,Bassnectar,Vava Voom [Single],3,2
1,MW0002590120,Bastille,All This Bad Blood,3,6
1,MW0002401480,Bat for Lashes,The Haunted Man,3,8
1,MW0000556353,Beach House,Beach House,3,1
1,MW0000671942,Beastie Boys,Beastie Boys Anthology: The Sounds of Science,3,7
1,MW0002334705,Best Coast,The Only Place,3,6
1,,Beyonce,4,3,5
1,MW0002282345,Bhi Bhiman,Bhiman,3,5
1,MW0001996458,Big Boi,Sir Lucious Left Foot...The Son of Chico Dusty,3,8
1,MW0002191512,Blind Pilot,We Are the Tide,3,5
1,MW0002490285,Blondfire,Where The Kids Are EP,3,5
1,MW0000237765,BMX Bandits,Theme Park,3,7
1,MW0002176740,Bombay Bicycle Club,A Different Kind of Fix,3,7
1,,Bon Iver,"Bon Iver, Bon Iver: Stems Project",3,2
1,MW0002023369,Brandon Boyd,The Wild Trapeze,3,6
1,MW0002110484,Britney Spears,Femme Fatale,3,5
1,MW0002603994,Broken Bells,After the Disco,3,5
1,,Brother Leather,Meat Mural,3,5
1,MW0002082656,Cage the Elephant,Thank You Happy Birthday,3,5
1,MW0001968014,Caribou,Swim,3,5
1,MW0002223499,Chairlift,Something,3,6
1,MW0002578486,Cherub,100 Bottles,3,4
1,MW0002381127,Cherub,Mom & Dad,3,7
1,MW0002329610,Chris Brown,Fortune,3,5
1,MW0002507154,Chvrches,Recover,3,5
1,MW0002555667,Chvrches,The Bones of What You Believe,3,6
1,MW0002182715,Class Actress,Rapprocher,3,5
1,MW0002507874,Cloud Boat,Book of Hours,3,6
1,MW0001967845,Coheed and Cambria,Year of the Black Rainbow,3,15
1,MW0002206149,Coldplay,Mylo Xyloto,3,8
1,MW0002387701,Communist Daughter,Lions and Lambs,3,5
1,MW0001954586,Corinne Bailey Rae,The Sea,3,8
1,MW0002080093,Cut Copy,Zonoscope,3,6
1,MW0002521619,Daft Punk,Random Access Memories,3,4
1,,Daley,Songs That Remind Me Of You,3,5
1,MW0002348295,Dana Buoy,Summer Bodies,3,5
1,MW0002401535,Dave Matthews,Away from the World,3,5
1,,Dawes,Daytrotter Sessions (2011),3,1
1,MW0002115023,Death Cab for Cutie,Codes and Keys,3,6
1,MW0002421480,Deptford Goth,Life After Defo,3,5
1,MW0002542166,Disclosure,Settle,3,3
1,MW0002222795,Drake,Take Care,3,5
1,MW0002489480,Dungeonesse,Dungeonesse,3,5
1,MW0002457951,Dutch Uncles,"Out of Touch, In the Wild",3,5
1,MW0002431528,Easter Island,Frightened,3,6
1,MW0002527864,Eisley,Currents,3,5
1,MW0002443418,El-P,Cancer4Cure Instrumentals,3,5
1,MW0001993449,Emarosa,Emarosa,3,6
1,MW0001998774,Eminem,Recovery,3,8
1,MW0002512565,Empire of the Sun,Ice on the Dune,3,5
1,MW0002329619,Exitmusic,Passage,3,5
1,MW0002116293,Explosions in the Sky,"Take Care, Take Care, Take Care",3,5
1,MW0002371346,Family of the Year,Loma Vista,3,5
1,MW0002289536,Fanfarlo,Rooms Filled with Light,3,6
1,MW0002315763,Father John Misty,Fear Fun,3,5
1,MW0002194566,Feist,Metals,3,7
1,MW0002409556,Field Report,Field Report,3,5
1,MW0002228356,Florence + the Machine,Ceremonials,3,8
1,MW0001950686,Four Tet,There Is Love in You,3,4
1,MW0002457948,Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,3,5
1,MW0002413078,Frightened Rabbit,State Hospital,3,6
1,MW0002477859,Generationals,Heza,3,5
1,MW0002356472,Glen Hansard,Rhythm and Repose,3,5
1,,Grammatrain,Imperium,3,5
1,MW0002038538,Guster,Easy Wonderful,3,5
1,MW0002566658,HAIM,Days Are Gone,3,6
1,MW0002580802,Hellogoodbye,Everything Is Debatable,3,6
1,MW0002329151,Hot Chip,In Our Heads,3,5
1,MW0001957675,Hot Chip,One Life Stand,3,6
1,MW0002382249,How to Dress Well,Total Loss,3,5
1,MW0002123313,Hymns from Nineveh,Hymns from Nineveh,3,4
1,MW0002142016,I Break Horses,Hearts,3,5
1,MW0002498880,Iron & Wine,Ghost on Ghost,3,5
1,MW0002195743,J. Cole,Cole World: The Sideline Story,3,6
1,,J. Cole,Truly Yours,3,4
1,,J. Cole,Truly Yours 2,3,4
1,MW0002540984,Jagwar Ma,Howlin',3,6
1,MW0002095213,James Blake,James Blake,3,8
1,MW0002060645,Jamiroquai,Rock Dust Light Star,3,7
1,MW0001977907,Janelle Monae,The ArchAndroid,3,5
1,MW0002540499,Jason Isbell,Southeastern,3,5
1,MW0002347154,Jessie Ware,Devotion,3,4
1,MW0002024949,Jimmy Eat World,Invented,3,6
1,MW0001994232,Jimmy Gnecco,The Heart,3,6
1,MW0002427366,John Talabot,"Fin Remixes, Pt. 1",3,5
1,,Jonsi,We Bought A Zoo,3,2
1,,Josh Tillman,The History Of Caves,3,5
1,MW0002556419,Julia Holter,Loud City Song,3,5
1,MW0002357910,Justin Bieber,Believe,3,5
1,,Justin Bieber,Journals,3,6
1,,Kanye West,GOOD Fridays,3,6
1,MW0002096204,Katy B,On a Mission,3,4
1,MW0002577862,Katy Perry,Prism,3,6
1,MW0002011446,Katy Perry,Teenage Dream,3,6
1,MW0002487039,Kavinsky,OutRun,3,3
1,MW0002325132,Keane,Strangeland,3,5
1,MW0002330220,Killer Mike,R.A.P. Music,3,5
1,MW0002569539,Kings of Leon,Mechanical Bull,3,6
1,MW0002436180,Lana Del Rey,Paradise,3,7
1,MW0001983842,LCD Soundsystem,This Is Happening,3,6
1,MW0002087546,Lloyd,King of Hearts,3,6
1,,Lorien,The Missing Collection,3,5
1,MW0002099977,Lupe Fiasco,Lasers,3,6
1,,Lupe Fiasco,"Lupe Fiasco's Food & Liquor II: The Great American Rap Album, Pt. 1",3,4
1,MW0002413475,M.I.A.,Matangi,3,5
1,MW0002086194,Magik Magik Orchestra,White Wilderness,3,6
1,MW0002344298,Man Without Country,Foe,3,6
1,MW0002295879,Marc Broussard,Marc Broussard EP,3,1
1,,Mariah McManus,Nice To Meet You,3,6
1,MW0002022758,Maroon 5,Hands All Over,3,8
1,MW0002358095,Maroon 5,Overexposed,3,7
1,,Mateo,Love & Stadiums,3,2
1,MW0002285295,Matthew Dear,Beams,3,4
1,MW0002091195,Middle Brother,Middle Brother,3,5
1,MW0002568027,Midlake,Antiphon,3,7
1,MW0002066164,Miguel,All I Want Is You,3,2
1,MW0002290068,Miike Snow,Happy to You,3,6
1,,Milosh,Jetlag,3,5
1,MW0002483516,Mister Lies,Mowgli,3,6
1,MW0002562501,Moon Taxi,Mountains Beaches Cities,3,5
1,MW0002406726,Muse,The 2nd Law,3,7
1,MW0002033200,MUTEMATH,Armistice Live,3,1
1,MW0002051292,Natasha Bedingfield,Strip Me,3,5
1,,Neon Indian,Era Extrana,3,6
1,MW0001977853,New Young Pony Club,The Optimist,3,6
1,MW0002030741,Nicki Minaj,Pink Friday,3,6
1,MW0002556305,Ours,Ballet the Boxer 1,3,5
1,MW0002362120,Passion Pit,Gossamer,3,5
1,MW0002314029,Patrick Watson,Adventures in Your Own Backyard,3,6
