Artist,Album,Genre,Plays,Rating
Flying Lotus,Cosmogramma,Electronic : IDM,2,1
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Flying Lotus,Cosmogramma,Electronic : IDM,3,
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Flying Lotus,Cosmogramma,Electronic : IDM,1,
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Flying Lotus,Cosmogramma,Electronic : IDM,1,
Flying Lotus,Cosmogramma,Electronic : IDM,1,
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Flying Lotus,Cosmogramma,Electronic : IDM,1,
Flying Lotus,Cosmogramma,Electronic : IDM,1,
Flying Lotus,Cosmogramma,Electronic : IDM,1,
Flying Lotus,Cosmogramma,Electronic : IDM,2,
Foals,Total Life Forever,Alternative : Indie Rock,11,4.5
Foals,Total Life Forever,Alternative : Indie Rock,8,
Foals,Total Life Forever,Alternative : Indie Rock,10,
Foals,Total Life Forever,Alternative : Indie Rock,9,
Foals,Total Life Forever,Alternative : Indie Rock,8,
Foals,Total Life Forever,Alternative : Indie Rock,8,
Foals,Total Life Forever,Alternative : Indie Rock,7,
Foals,Total Life Forever,Alternative : Indie Rock,8,
Foals,Total Life Forever,Alternative : Indie Rock,8,
Foals,Total Life Forever,Alternative : Indie Rock,15,
Foals,Total Life Forever,Alternative : Indie Rock,7,
Four Tet,There Is Love In You,Electronic : IDM,6,3
Four Tet,There Is Love In You,Electronic : IDM,4,
Four Tet,There Is Love In You,Electronic : IDM,4,
Four Tet,There Is Love In You,Electronic : IDM,6,
Four Tet,There Is Love In You,Electronic : IDM,4,
Four Tet,There Is Love In You,Electronic : IDM,4,
Four Tet,There Is Love In You,Electronic : IDM,4,
Four Tet,There Is Love In You,Electronic : IDM,4,
Four Tet,There Is Love In You,Electronic : IDM,4,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,6,2.5
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Fran Healy,Wreckorder,Rock : Alternative Indie Rock,5,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,9,4
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,13,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,11,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,13,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,7,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,8,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,7,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,13,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,12,
Frightened Rabbit,The Winter Of Mixed Drinks,Alternative : Indie Rock,8,
