Artist,Album,Plays
The Flaming Lips,Embryonic,6
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,6
The Flaming Lips,Embryonic,6
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,5
The Flaming Lips,Embryonic,7
The Flaming Lips,Embryonic,6
Lorien,Esque,11
Lorien,Esque,9
Lorien,Esque,9
Lorien,Esque,15
Lorien,Esque,14
Lorien,Esque,10
Lorien,Esque,13
Lorien,Esque,14
Lorien,Esque,10
Lorien,Esque,11
Lorien,Esque,13
Lorien,Esque,10
Cascada,Evacuate The Dancefloor,4
Cascada,Evacuate The Dancefloor,5
Kristinia DeBarge,Exposed,2
Kristinia DeBarge,Exposed,2
Phantogram,Eyelid Movies,5
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Hillsong,Faith + Hope + Love,
Metric,Fantasies,
Metric,Fantasies,
Metric,Fantasies,
Metric,Fantasies,
Metric,Fantasies,
Metric,Fantasies,3
Metric,Fantasies,
Metric,Fantasies,
Metric,Fantasies,
Metric,Fantasies,
Ciara,Fantasy Ride,5
Ciara,Fantasy Ride,5
Ciara,Fantasy Ride,7
Ciara,Fantasy Ride,15
Ciara,Fantasy Ride,3
Ciara,Fantasy Ride,13
Ciara,Fantasy Ride,4
Ciara,Fantasy Ride,10
Ciara,Fantasy Ride,6
Ciara,Fantasy Ride,6
Ciara,Fantasy Ride,17
Ciara,Fantasy Ride,27
Ciara,Fantasy Ride,4
Three 6 Mafia,Feel It Single,11
Thom Yorke,Feeling Pulled Apart By Horses Single,7
Thom Yorke,Feeling Pulled Apart By Horses Single,7
Fever Ray,Fever Ray,6
Fiction Family,Fiction Family,8
Fiction Family,Fiction Family,7
Fiction Family,Fiction Family,12
Fiction Family,Fiction Family,6
Fiction Family,Fiction Family,9
